META	CODE	Name	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Millions of tonnes of oil equivalent	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Petajoules	Product	Production and imports	Stock changes	Stock changes out	Statistical differences	Statistical differences out	 	Transformation1	Transformation2	Power plants input	Power plants output	Stock  changes	Stock  change out	StatisticaI differences	StatisticaI difference2		Total final consumption	
ID			Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Product	Production and imports	Stock changes	Stock changes out	Statistical differences	Statistical differences out	 	Transformation1	Transformation2	Power plants input	Power plants output	Stock  changes	Stock  change out	StatisticaI differences	StatisticaI difference2		Total final consumption	
DESCRIPTION																																																																																																																				
UNIT	NA	NA	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	Mtoe	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ	PJ																		
PARSETYPE	S	S	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	
SLICE	S	NA	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020	2020
PRECISION	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		
	117	Power plant losses	12.8	12.1	12.5	13.7	16.2	16.6	17.8	19.1	19	19.6	22.8	24.7	25.1	26	28.4	30.7	32.7	29.4	31.4	32.2	33	35.7	34.5	33.1	33.5	34	34	36.2	37.4	35.7	37.1	38.4	38.3	40	41.2	39.5	36.5	37.2	37.2	37.2	38.5	39	38.1	38.1	37.9	36.5	36.4	35	536	507	522	572	677	695	743	799	797	819	956	1033	1054	1091	1188	1288	1365	1231	1316	1347	1382	1497	1444	1388	1404	1422	1424	1513	1563	1496	1554	1608	1603	1676	1724	1653	1527	1558	1557	1559	1609	1634	1592	1595	1587	1527	1522	1466	Power plant losses										Power station					Power losses		
	1	Oil production	96.5	90.7	85.2	77.9	78.1	77	86.6	83.6	75.8	75.5	79.4	85.6	86.3	87.7	92.7	96.5	94.4	94.1	94.6	99.1	104.2	108.3	113.5	116.8	122.5	128.3	123.4	128.4	130.2	136.5	144.2	149.3	142.9	158.9	162.7	160.1	159.1	167.2	177.7	191.3	204.1	219.9	226.3	225.6	248.7	267.2	276.7	263.4	4042	3799	3566	3261	3268	3225	3626	3502	3174	3162	3322	3584	3615	3673	3881	4040	3952	3942	3959	4148	4363	4534	4750	4891	5127	5371	5166	5377	5452	5714	6038	6251	5985	6652	6811	6704	6662	6999	7441	8010	8547	9206	9475	9446	10413	11188	11583	11030	Oil	Oil prod																
	2	Oil imports	43.4	41.3	42.3	37.2	34.5	31.7	31.5	27.9	25.7	17.5	12.7	12.7	14.5	18.1	20.5	22.7	24.9	27.1	27.5	26	30	31.7	30.5	35.1	39.4	40	42.5	46.9	46.7	44.7	45.8	47.2	49.1	45.5	45.8	45.6	44.9	42.3	39.9	45.9	44.5	44.9	51.6	51.9	45.3	43.6	44.6	40.7	1816	1730	1770	1559	1445	1329	1319	1169	1075	734	533	531	607	757	859	951	1041	1136	1153	1089	1256	1327	1276	1470	1650	1676	1777	1965	1955	1873	1916	1975	2056	1903	1918	1910	1881	1773	1673	1920	1863	1879	2159	2173	1898	1827	1865	1703	Oil	Oil imp																
	3	Oil stock build	0	0	0.8	0	0	0	0	1.1	0	0	0	0.7	0	0.2	1	0	0	0.7	0.2	0	0.1	1	0	0.1	1.4	0	0.3	0.2	0.9	0.8	1.3	0	2.4	0	0	0	0	1.5	0	0	0.3	1.4	0.3	0	0.3	0.8	0	1.7	0	0	34	1	0	0	2	44	0	0	0	28	0	8	40	0	0	28	9	0	4	42	0	4	60	0	11	10	38	33	55	0	99	0	0	0	0	64	0	0	12	59	11	0	14	32	0	73	Oil		Oil stock build															
	4	Oil stock draw	0	0	0	0	0	0.7	0	0	0.8	0.4	0.6	0	0.3	0	0	0.6	0.4	0	0	0.4	0	0	0.8	0	0	1.2	0	0	0	0	0	1.1	0	0.1	1.5	0.3	0.3	0	0.9	0.6	0	0	0	0.7	0	0	1.6	0	0	2	0	0	0	28	0	0	34	16	26	0	13	0	0	26	16	0	0	19	0	0	33	0	0	51	0	0	0	0	0	47	0	3	61	13	14	0	38	27	0	0	0	29	0	0	69	0	Oil			Oil stock draw														
